Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
NaVO3,Na,V,1,5,1.39,0.54,tetragonal,1,3.673,3.673,3.961,90,90,90,0.38,-2.261,0.214,0,10.687,2.295
NaWO3,Na,W,1,5,1.39,0.62,cubic,0,3.893,3.893,3.893,90,90,90,0,-2.38,-0.03,0,11.801,5.438
NbAgO3,Nb,Ag,3,3,0.72,0.75,orthorhombic,3,5.571,5.888,8.565,90,90,90,1.521,-1.87,0.182,0,14.047,-8.804
NbAlO3,Nb,Al,3,3,0.72,0.54,cubic,0,3.642,3.642,3.642,90,90,90,0,-2.135,0.746,0.377,9.661,3.221
NbAsO3,Nb,As,3,3,0.72,0.58,cubic,0,3.905,3.905,3.905,90,90,90,0,-0.668,1.556,0.54,11.909,-0.092
NbBO3,Nb,B,5,1,0.74,0.27,cubic,0,3.4,3.4,3.4,90,90,90,0,-1.261,1.312,0.281,7.859,2.549
NbBeO3,Nb,Be,4,2,0.79,0.45,cubic,0,3.405,3.405,3.405,90,90,90,0,-1.967,0.851,0.017,7.899,1.975
NbBiO3,Nb,Bi,1,5,0.79,0.76,cubic,0,4.282,4.282,4.282,90,90,90,0,-0.367,1.888,0.598,15.7,-8.918
NbCeO3,Nb,Ce,3,3,0.72,1.01,cubic,0,4.509,4.509,4.509,90,90,90,0,-0.998,2.09,0.401,18.336,-9.862
NbCoO3,Nb,Co,3,3,0.72,0.61,cubic,0,3.652,3.652,3.652,90,90,90,0,-1.027,1.247,0.146,9.741,0.373
NbCrO3,Nb,Cr,3,3,0.72,0.62,orthorhombic,3,5.348,5.687,7.174,90,90,90,0,-2.265,0.223,1,10.911,0.74
NbCuO3,Nb,Cu,3,3,0.72,0.54,rhombohedral,2,5.03,5.226,5.754,77.3,109,68.7,1.077,-2.069,0.118,0,12.309,-1.211
NbDyO3,Nb,Dy,3,3,0.72,0.91,cubic,0,4.249,4.249,4.249,90,90,90,0,-1.537,1.678,0.4,15.344,-
NbErO3,Nb,Er,3,3,0.72,0.89,cubic,0,4.2,4.2,4.2,90,90,90,0,-1.634,1.598,0.4,14.812,-5.748
NbEuO3,Nb,Eu,3,3,0.72,0.95,orthorhombic,3,5.68,6.069,8.177,90,90,90,0,-2.865,0.346,-0.003,14.096,-12.689
NbFeO3,Nb,Fe,3,3,0.72,0.65,cubic,0,3.793,3.793,3.793,90,90,90,0,-1.065,1.278,1.371,10.916,-0.263
NbGaO3,Nb,Ga,3,3,0.72,0.62,orthorhombic,3,5.317,5.486,7.241,90,90,90,0,-1.916,0.429,0.4,10.56,-0.13
NbGdO3,Nb,Gd,3,3,0.72,0.94,cubic,0,4.304,4.304,4.304,90,90,90,0,-1.426,1.767,0.401,15.942,-7.275
NbGeO3,Nb,Ge,2,4,0.79,0.53,cubic,0,3.79,3.79,3.79,90,90,90,0,-1.053,1.213,0.557,10.89,1.286
NbHfO3,Nb,Hf,2,4,0.79,0.71,cubic,0,4.058,4.058,4.058,90,90,90,0,-2.125,1.041,0.6,13.363,-0.26
NbHoO3,Nb,Ho,3,3,0.72,0.9,cubic,0,4.222,4.222,4.222,90,90,90,0,-1.587,1.637,0.4,15.056,-6.107
NbInO3,Nb,In,3,3,0.72,0.8,orthorhombic,3,5.641,5.915,7.525,90,90,90,0,-1.781,0.52,0.362,12.555,-5.317
NbIrO3,Nb,Ir,2,4,0.79,0.63,cubic,0,3.915,3.915,3.915,90,90,90,0,-0.359,1.782,0.375,11.999,-3.832
NbLaO3,Nb,La,3,3,0.72,1.03,rhombohedral,2,5.843,5.843,5.843,65.4,65.4,65.4,0.398,-2.776,0.406,0,15.771,-9.466
NbLiO3,Nb,Li,5,1,0.74,0.76,orthorhombic,3,4.772,5.139,7.819,90,90,90,2.594,-2.634,0.103,0,9.588,-2.884
NbLuO3,Nb,Lu,3,3,0.72,0.86,cubic,0,4.131,4.131,4.131,90,90,90,0,-1.776,1.48,0.4,14.095,-4.611
NbMnO3,Nb,Mn,3,3,0.72,0.65,cubic,0,3.794,3.794,3.794,90,90,90,0,-1.285,1.223,1.196,10.92,-1.475
NbMoO3,Nb,Mo,2,4,0.79,0.65,cubic,0,3.929,3.929,3.929,90,90,90,0,-1.169,1.136,0.561,12.128,0.994
Nb2O3,Nb,Nb,3,3,0.72,0.72,cubic,0,4.007,4.007,4.007,90,90,90,0,-1.569,0.924,0.609,12.867,2.484
NbNdO3,Nb,Nd,3,3,0.72,0.98,cubic,0,4.433,4.433,4.433,90,90,90,0,-1.15,1.975,0.399,17.42,-9.017
NbNiO3,Nb,Ni,3,3,0.72,0.6,cubic,0,3.661,3.661,3.661,90,90,90,0,-0.956,1.307,0.56,9.814,-0.477
NbPbO3,Nb,Pb,2,4,0.79,0.78,rhombohedral,2,5.732,5.732,5.732,68.7,68.7,68.7,0,-1.811,0.489,0,15.75,-9.306
NbPdO3,Nb,Pd,2,4,0.79,0.62,cubic,0,3.926,3.926,3.926,90,90,90,0,-0.342,1.77,0.37,12.1,-1.843
NbPrO3,Nb,Pr,2,4,0.79,0.85,cubic,0,4.468,4.468,4.468,90,90,90,0,-1.079,2.028,0.401,17.844,-9.427
NbReO3,Nb,Re,2,4,0.79,0.63,cubic,0,3.915,3.915,3.915,90,90,90,0,-0.797,1.442,0.536,12.003,-0.749
NbRhO3,Nb,Rh,3,3,0.72,0.67,cubic,0,3.885,3.885,3.885,90,90,90,0,-0.531,1.607,0.331,11.728,-1.377
NbRuO3,Nb,Ru,2,4,0.79,0.62,cubic,0,3.874,3.874,3.874,90,90,90,0,-0.644,1.528,0.231,11.627,-1.403
NbSbO3,Nb,Sb,3,3,0.72,0.76,cubic,0,4.093,4.093,4.093,90,90,90,0,-0.672,1.584,0.647,13.717,0.34
NbScO3,Nb,Sc,3,3,0.72,0.75,cubic,0,3.956,3.956,3.956,90,90,90,0,-1.948,1.21,0.4,12.386,-2.429
NbSiO3,Nb,Si,2,4,0.79,0.4,cubic,0,3.607,3.607,3.607,90,90,90,0,-1.605,1.101,0.561,9.385,2.974
NbSmO3,Nb,Sm,3,3,0.72,0.96,cubic,0,4.369,4.369,4.369,90,90,90,0,-1.28,1.877,0.399,16.675,-8.22
NbSnO3,Nb,Sn,2,4,0.79,0.69,orthorhombic,3,5.735,6.622,6.811,90,90,90,0,-1.961,0.355,0,12.934,1.467
NbTaO3,Nb,Ta,2,4,0.79,0.68,cubic,0,3.989,3.989,3.989,90,90,90,0,-1.727,0.895,0.643,12.692,2.888
NbTbO3,Nb,Tb,2,4,0.79,0.76,cubic,0,4.276,4.276,4.276,90,90,90,0,-1.352,1.721,0.401,15.634,-6.862
NbTeO3,Nb,Te,2,4,0.79,0.97,cubic,0,4.173,4.173,4.173,90,90,90,0,-0.39,1.791,0.622,14.536,-3.04
NbThO3,Nb,Th,2,4,0.79,0.94,cubic,0,4.534,4.534,4.534,90,90,90,0,-1.781,1.623,0.6,18.639,-4.59
NbTiO3,Nb,Ti,2,4,0.79,0.61,cubic,0,3.848,3.848,3.848,90,90,90,0,-1.98,0.877,0.526,11.393,1.931
NbTlO3,Nb,Tl,3,3,0.72,0.89,rhombohedral,2,5.662,5.662,5.662,70.2,70.2,70.2,0.293,-1.642,0.646,0,15.555,-9.673
NbTmO3,Nb,Tm,3,3,0.72,0.88,cubic,0,4.173,4.173,4.173,90,90,90,0,-1.694,1.553,0.4,14.535,-5.3
NbUO3,Nb,U,2,4,0.79,0.89,cubic,0,4.324,4.324,4.324,90,90,90,0,-1.791,1.362,1,16.166,3.006
NbVO3,Nb,V,2,4,0.79,0.58,cubic,0,3.807,3.807,3.807,90,90,90,0,-1.581,0.981,0.8,11.034,1.403
NbWO3,Nb,W,2,4,0.79,0.66,cubic,0,3.938,3.938,3.938,90,90,90,0,-1.186,1.123,0.609,12.214,1.156
NbYO3,Nb,Y,3,3,0.72,0.9,cubic,0,4.249,4.249,4.249,90,90,90,0,-1.512,1.68,0.399,15.346,-6.49
NbYbO3,Nb,Yb,3,3,0.72,0.87,orthorhombic,3,5.65,5.796,7.855,90,90,90,0,-2.874,0.283,0.197,12.862,-10.296
NbZrO3,Nb,Zr,2,4,0.79,0.72,cubic,0,4.112,4.112,4.112,90,90,90,0,-1.931,1.11,0.6,13.905,-1.584
NdAgO3,Nd,Ag,3,3,1.27,0.75,orthorhombic,3,5.569,5.992,7.969,90,90,90,0,-1.903,0.076,0,13.295,0.039
NdAlO3,Nd,Al,3,3,1.27,0.54,rhombohedral,2,5.297,5.297,5.297,60.6,60.6,60.6,4.598,-3.513,-0.03,0,10.645,6.454
NdAsO3,Nd,As,3,3,1.27,0.58,cubic,0,4.033,4.033,4.033,90,90,90,0,-2.055,0.563,0,13.12,2.687
NdBiO3,Nd,Bi,3,3,1.27,1.03,cubic,0,4.364,4.364,4.364,90,90,90,0,-1.711,0.836,0,16.618,1.33
NdCeO3,Nd,Ce,2,4,1.35,0.87,cubic,0,4.549,4.549,4.549,90,90,90,0.73,-2.517,1.054,0,18.828,2.475
NdCoO3,Nd,Co,3,3,1.27,0.61,orthorhombic,3,5.348,5.485,7.671,90,90,90,0,-2.456,0.002,0.4,11.251,3.124
NdCrO3,Nd,Cr,3,3,1.27,0.62,orthorhombic,3,5.426,5.602,7.748,90,90,90,2.29,-3.122,-0.071,0.6,11.777,4.678
NdCuO3,Nd,Cu,3,3,1.27,0.54,orthorhombic,3,5.373,5.466,7.627,90,90,90,0,-2.185,0.074,0,11.2,1.235
NdDyO3,Nd,Dy,3,3,1.27,0.91,cubic,0,4.285,4.285,4.285,90,90,90,1.704,-3.089,0.646,0,15.73,4.401
NdErO3,Nd,Er,3,3,1.27,0.89,cubic,0,4.24,4.24,4.24,90,90,90,1.892,-3.182,0.576,0,15.243,4.639
NdEuO3,Nd,Eu,3,3,1.27,0.95,cubic,0,4.279,4.279,4.279,90,90,90,0,-2.325,0.907,0.131,15.669,-1.378
NdFeO3,Nd,Fe,3,3,1.27,0.65,orthorhombic,3,5.431,5.648,7.769,90,90,90,1.081,-2.706,-0.036,1,11.914,3.83
NdGaO3,Nd,Ga,3,3,1.27,0.62,orthorhombic,3,5.426,5.556,7.738,90,90,90,3.895,-2.891,0.001,0,11.664,4.861
NdGdO3,Nd,Gd,3,3,1.27,0.94,cubic,0,4.335,4.335,4.335,90,90,90,1.412,-2.98,0.726,0,16.298,4.071
NdGeO3,Nd,Ge,2,4,1.35,0.53,orthorhombic,3,5.5,5.835,7.935,90,90,90,0,-2.51,0.208,0,12.733,3.182
NdHfO3,Nd,Hf,2,4,1.35,0.71,orthorhombic,3,5.628,5.94,7.996,90,90,90,0,-3.386,0.152,0.009,13.366,5.015
NdHoO3,Nd,Ho,3,3,1.27,0.9,cubic,0,4.262,4.262,4.262,90,90,90,1.702,-3.137,0.61,0,15.48,4.513
NdInO3,Nd,In,3,3,1.27,0.8,orthorhombic,3,5.643,5.947,8.183,90,90,90,2.935,-2.72,0.013,0,13.73,3.394
NdIrO3,Nd,Ir,2,4,1.35,0.63,orthorhombic,3,5.368,5.918,7.797,90,90,90,0.905,-2.202,0.087,0,12.385,-0.008
NdLaO3,Nd,La,3,3,1.27,1.03,cubic,0,4.528,4.528,4.528,90,90,90,0.693,-2.638,1.028,0,18.563,2.384
NdLuO3,Nd,Lu,3,3,1.27,0.86,orthorhombic,3,5.699,5.95,8.258,90,90,90,5.041,-3.769,0.022,0,14.002,4.963
NdMnO3,Nd,Mn,3,3,1.27,0.65,orthorhombic,3,5.428,5.715,7.716,90,90,90,0,-2.885,0.001,0.8,11.967,3.843
NdMoO3,Nd,Mo,2,4,1.35,0.65,orthorhombic,3,5.511,5.905,7.95,90,90,90,0,-2.612,0.212,0.575,12.936,2.722
NdNbO3,Nd,Nb,2,4,1.35,0.68,orthorhombic,3,5.513,6.022,7.845,90,90,90,0,-2.928,0.197,0,13.023,3.94
Nd2O3,Nd,Nd,3,3,1.27,0.98,cubic,0,4.467,4.467,4.467,90,90,90,0.935,-2.692,0.928,0,17.831,3.107
NdNiO3,Nd,Ni,3,3,1.27,0.6,orthorhombic,3,5.37,5.42,7.62,90,90,90,0,-2.328,0.042,0.2,11.089,1.425
NdPbO3,Nd,Pb,2,4,1.35,0.78,cubic,0,4.187,4.187,4.187,90,90,90,0,-1.614,0.816,0,14.677,-
NdPdO3,Nd,Pd,2,4,1.35,0.62,orthorhombic,3,5.517,5.951,7.726,90,90,90,0,-2.142,0.047,0.001,12.681,0.583
NdPrO3,Nd,Pr,2,4,1.35,0.85,cubic,0,4.505,4.505,4.505,90,90,90,0.745,-2.611,0.987,0,18.292,2.807
NdReO3,Nd,Re,3,3,1.27,0.63,cubic,0,3.975,3.975,3.975,90,90,90,0,-2.042,0.546,0.173,12.558,1.361
NdRhO3,Nd,Rh,2,4,1.35,0.6,orthorhombic,3,5.385,5.839,7.793,90,90,90,0.729,-2.336,-0.059,0,12.251,0.681
NdRuO3,Nd,Ru,2,4,1.35,0.62,orthorhombic,3,5.347,5.888,7.772,90,90,90,0,-2.339,0.041,0.198,12.234,1.544
NdSbO3,Nd,Sb,3,3,1.27,0.76,cubic,0,4.238,4.238,4.238,90,90,90,0,-1.914,0.764,0,15.219,1.8
NdScO3,Nd,Sc,3,3,1.27,0.75,orthorhombic,3,5.565,5.802,8.004,90,90,90,4.473,-3.736,-0.022,0,12.923,5.348
NdSiO3,Nd,Si,3,3,1.27,0.4,cubic,0,3.765,3.765,3.765,90,90,90,0,-2.679,0.614,0.001,10.671,4.689
NdSmO3,Nd,Sm,3,3,1.27,0.96,cubic,0,4.402,4.402,4.402,90,90,90,1.318,-2.834,0.827,0,17.064,0.939
NdSnO3,Nd,Sn,2,4,1.35,0.69,cubic,0,4.139,4.139,4.139,90,90,90,0,-2.162,0.615,0,14.186,2.655
NdTaO3,Nd,Ta,2,4,1.35,0.68,orthorhombic,3,5.499,6.015,7.792,90,90,90,0,-2.929,0.323,0,12.886,4.009
NdTbO3,Nd,Tb,2,4,1.35,0.76,cubic,0,4.309,4.309,4.309,90,90,90,1.693,-2.905,0.685,0,16.004,4.27
NdTeO3,Nd,Te,2,4,1.35,0.97,cubic,0,4.258,4.258,4.258,90,90,90,0,-1.602,0.887,0,15.437,1.424
NdThO3,Nd,Th,2,4,1.35,0.94,cubic,0,4.56,4.56,4.56,90,90,90,0,-2.933,0.816,0.047,18.964,3.009
NdTiO3,Nd,Ti,2,4,1.35,0.61,orthorhombic,3,5.457,5.7,7.804,90,90,90,0,-3.396,0.023,0.199,12.138,5.207
NdTlO3,Nd,Tl,3,3,1.27,0.89,orthorhombic,3,5.739,6.113,8.439,90,90,90,1.178,-2.226,0.053,0,14.802,1.067
NdTmO3,Nd,Tm,3,3,1.27,0.88,cubic,0,4.215,4.215,4.215,90,90,90,1.895,-3.239,0.537,0,14.978,4.762
NdUO3,Nd,U,2,4,1.35,0.89,cubic,0,4.413,4.413,4.413,90,90,90,0,-2.731,0.798,0.551,17.191,2.91
NdVO3,Nd,V,3,3,1.27,0.64,orthorhombic,3,5.453,5.703,7.776,90,90,90,1.214,-3.196,-0.071,0.4,12.091,4.373
NdWO3,Nd,W,2,4,1.35,0.66,cubic,0,3.988,3.988,3.988,90,90,90,0,-2.336,0.589,0.003,12.683,2.322
NdYO3,Nd,Y,3,3,1.27,0.9,cubic,0,4.285,4.285,4.285,90,90,90,1.82,-3.065,0.649,0,15.735,4.343
NdYbO3,Nd,Yb,3,3,1.27,0.87,cubic,0,4.131,4.131,4.131,90,90,90,0,-2.55,0.726,-0.001,14.1,-1.216
NdZrO3,Nd,Zr,2,4,1.35,0.72,orthorhombic,3,5.643,6.144,7.858,90,90,90,0,-3.332,0.155,0.139,13.622,4.658
NiAsO3,Ni,As,1,5,0.69,0.46,cubic,0,3.714,3.714,3.714,90,90,90,0,-0.43,0.995,0.288,10.247,-3.104
NiBO3,Ni,B,3,3,0.6,0.27,cubic,0,3.355,3.355,3.355,90,90,90,0,-0.476,1.373,0.6,7.552,-4.481
NiCrO3,Ni,Cr,2,4,0.69,0.55,cubic,0,3.708,3.708,3.708,90,90,90,0,-1.078,0.694,-0.001,10.198,-
NiFeO3,Ni,Fe,2,4,0.69,0.59,cubic,0,3.758,3.758,3.758,90,90,90,0,-0.432,0.902,1.231,10.613,-
NiGeO3,Ni,Ge,2,4,0.69,0.53,cubic,0,3.683,3.683,3.683,90,90,90,0,-0.727,0.971,0.401,9.993,-
NiHfO3,Ni,Hf,2,4,0.69,0.71,cubic,0,4.043,4.043,4.043,90,90,90,0,-1.744,1.056,0.4,13.216,-2.313
NiIrO3,Ni,Ir,2,4,0.69,0.63,cubic,0,3.809,3.809,3.809,90,90,90,0,-0.19,0.945,0.209,11.054,-
NiMnO3,Ni,Mn,2,4,0.69,0.53,cubic,0,3.625,3.625,3.625,90,90,90,0,-0.583,1.013,1.014,9.523,-3.746
NiMoO3,Ni,Mo,2,4,0.69,0.65,cubic,0,3.852,3.852,3.852,90,90,90,0,-1.063,0.743,0.214,11.429,0.705
NiNbO3,Ni,Nb,2,4,0.69,0.68,cubic,0,3.963,3.963,3.963,90,90,90,0,-1.488,0.775,0.202,12.449,1.244
NiPbO3,Ni,Pb,2,4,0.69,0.78,orthorhombic,3,5.429,5.509,8.043,90,90,90,0.343,-1.052,0.114,0.4,12.029,-
NiPdO3,Ni,Pd,2,4,0.69,0.62,cubic,0,3.892,3.892,3.892,90,90,90,0,0.049,0.805,0.499,11.788,-0.931
NiReO3,Ni,Re,2,4,0.69,0.63,cubic,0,3.847,3.847,3.847,90,90,90,0,-0.747,0.775,0.195,11.388,0.228
NiRhO3,Ni,Rh,2,4,0.69,0.6,cubic,0,3.864,3.864,3.864,90,90,90,0,-0.227,0.893,-0.142,11.537,-0.282
NiRuO3,Ni,Ru,2,4,0.69,0.62,cubic,0,3.739,3.739,3.739,90,90,90,0,-0.398,0.858,0.08,10.453,-
NiSbO3,Ni,Sb,1,5,0.69,0.6,cubic,0,3.935,3.935,3.935,90,90,90,0,-0.607,0.916,0.235,12.185,-1.081
NiSiO3,Ni,Si,2,4,0.69,0.4,cubic,0,3.495,3.495,3.495,90,90,90,0,-1.453,0.91,0.4,8.536,0.759
NiSnO3,Ni,Sn,2,4,0.69,0.69,cubic,0,3.991,3.991,3.991,90,90,90,0,-0.582,1.087,0.4,12.711,-
NiTaO3,Ni,Ta,2,4,0.69,0.68,cubic,0,3.935,3.935,3.935,90,90,90,0,-1.737,0.738,0.2,12.189,2.05
NiTeO3,Ni,Te,2,4,0.69,0.97,cubic,0,4.032,4.032,4.032,90,90,90,0,-0.257,1.06,0.228,13.109,-
NiTiO3,Ni,Ti,2,4,0.69,0.61,cubic,0,3.855,3.855,3.855,90,90,90,0,-1.545,0.923,0.4,11.461,-
NiVO3,Ni,V,2,4,0.69,0.58,cubic,0,3.71,3.71,3.71,90,90,90,0,-1.169,0.836,0.2,10.21,-
NiWO3,Ni,W,2,4,0.69,0.66,cubic,0,4.458,4.458,4.458,90,90,90,0,-0.276,1.681,-0.224,17.717,-7.998
NiZrO3,Ni,Zr,2,4,0.69,0.72,cubic,0,4.107,4.107,4.107,90,90,90,0,-1.549,1.128,0.4,13.856,-2.937
PbBeO3,Pb,Be,4,2,0.94,0.45,cubic,0,3.609,3.609,3.609,90,90,90,0,-1.23,0.625,-,9.405,-2.682
PbCeO3,Pb,Ce,2,4,1.49,0.87,cubic,0,4.509,4.509,4.509,90,90,90,0,-1.755,0.622,0.197,18.335,-1.369
PbCoO3,Pb,Co,2,4,1.49,0.53,orthorhombic,3,5.301,5.541,7.793,90,90,90,0,-1.077,0.184,0.164,11.444,0.756
PbCrO3,Pb,Cr,2,4,1.49,0.55,orthorhombic,3,5.425,5.554,7.724,90,90,90,0,-1.79,0.08,0.468,11.637,1.768
PbFeO3,Pb,Fe,2,4,1.49,0.59,orthorhombic,3,5.42,5.599,7.768,90,90,90,0,-1.359,0.083,0.871,11.787,0.789
PbGeO3,Pb,Ge,2,4,1.49,0.53,tetragonal,1,3.668,3.668,4.715,90,90,90,0,-1.609,0.152,-,12.688,3.527
PbHfO3,Pb,Hf,2,4,1.49,0.71,orthorhombic,3,5.759,5.829,8.193,90,90,90,3.019,-2.824,0.008,0,13.752,-
PbIrO3,Pb,Ir,2,4,1.49,0.63,orthorhombic,3,5.538,5.721,7.871,90,90,90,0,-1.015,0.211,0,12.471,1.939
PbMnO3,Pb,Mn,2,4,1.49,0.53,orthorhombic,3,5.442,5.536,7.743,90,90,90,0,-1.56,0.065,0.631,11.666,1.118
PbMoO3,Pb,Mo,2,4,1.49,0.65,tetragonal,1,3.999,3.999,4.043,90,90,90,0,-1.751,0.137,0,12.931,4.758
PbNbO3,Pb,Nb,2,4,1.49,0.68,orthorhombic,3,5.739,5.764,8.148,90,90,90,0,-2.173,0.127,0.002,13.477,-
PbNiO3,Pb,Ni,2,4,1.49,0.48,orthorhombic,3,5.264,5.479,7.756,90,90,90,0,-1.163,0.002,0.397,11.185,-1.411
PbPdO3,Pb,Pd,2,4,1.49,0.62,orthorhombic,3,5.525,5.783,7.857,90,90,90,0,-0.901,0.028,-,12.551,0.332
PbPrO3,Pb,Pr,2,4,1.49,0.85,cubic,0,4.457,4.457,4.457,90,90,90,0,-1.8,0.605,0.2,17.71,-1.388
PbReO3,Pb,Re,2,4,1.49,0.63,cubic,0,3.993,3.993,3.993,90,90,90,0,-1.373,0.183,0.003,12.732,3.992
PbRhO3,Pb,Rh,2,4,1.49,0.6,orthorhombic,3,5.491,5.694,7.82,90,90,90,0,-1.085,0.067,0,12.223,1.584
PbRuO3,Pb,Ru,2,4,1.49,0.62,orthorhombic,3,5.531,5.633,7.878,90,90,90,0,-1.176,0.112,0.195,12.273,2.962
PbSbO3,Pb,Sb,2,4,1.49,0.68,orthorhombic,3,5.856,5.969,8.357,90,90,90,0,-1.447,0.118,-,14.606,2.448
PbSiO3,Pb,Si,2,4,1.49,0.4,tetragonal,1,3.493,3.493,4.738,90,90,90,1.837,-2.126,0.276,-,11.559,4.91
PbSnO3,Pb,Sn,2,4,1.49,0.69,rhombohedral,2,5.759,5.759,5.759,60.6,60.6,60.6,1.879,-1.656,0.058,-,13.699,3.602
PbTaO3,Pb,Ta,2,4,1.49,0.68,rhombohedral,2,5.712,5.712,5.712,60.6,60.6,60.6,0,-2.291,0.165,0,13.368,-
PbTbO3,Pb,Tb,2,4,1.49,0.76,orthorhombic,3,5.822,6.068,8.503,90,90,90,0,-2.273,0.124,0.001,15.019,-0.948
PbTeO3,Pb,Te,2,4,1.49,0.97,tetragonal,1,4.256,4.256,4.495,90,90,90,0,-1.235,0.14,-,16.283,2.828
PbThO3,Pb,Th,2,4,1.49,0.94,orthorhombic,3,6.109,6.404,8.863,90,90,90,2.938,-2.898,0.173,0,17.337,3.431
PbTiO3,Pb,Ti,2,4,1.49,0.61,tetragonal,1,3.894,3.894,4.236,90,90,90,1.687,-2.517,-0.021,0,12.85,-
PbUO3,Pb,U,2,4,1.49,0.89,orthorhombic,3,6.032,6.278,8.711,90,90,90,1.935,-2.715,0.105,0.4,16.492,-
PbVO3,Pb,V,2,4,1.49,0.58,tetragonal,1,3.874,3.874,4.383,90,90,90,1.006,-2.05,0.033,0.2,13.155,3.148
PbWO3,Pb,W,2,4,1.49,0.66,cubic,0,4.016,4.016,4.016,90,90,90,0,-1.749,0.225,0,12.956,-
PbZrO3,Pb,Zr,2,4,1.49,0.72,orthorhombic,3,5.8,5.895,8.269,90,90,90,2.846,-2.678,0.03,0,14.136,-
PdAgO3,Pd,Ag,3,3,0.76,0.75,cubic,0,3.99,3.99,3.99,90,90,90,0,0.553,0.991,-,12.705,-5.204
PdAlO3,Pd,Al,3,3,0.76,0.54,cubic,0,3.662,3.662,3.662,90,90,90,0,-1.341,0.551,-,9.822,-1.435
PdAsO3,Pd,As,3,3,0.76,0.58,cubic,0,3.767,3.767,3.767,90,90,90,0,-0.448,0.649,-,10.69,0.356
PdBO3,Pd,B,3,3,0.76,0.27,cubic,0,3.394,3.394,3.394,90,90,90,0,-0.392,1.179,-,7.821,-1.727
PdBeO3,Pd,Be,4,2,0.62,0.45,cubic,0,3.461,3.461,3.461,90,90,90,0,-0.685,0.761,-,8.288,-3.744
PdCeO3,Pd,Ce,2,4,0.86,0.87,orthorhombic,3,5.847,6.056,8.22,90,90,90,0,-1.756,0.351,0,14.554,-5.49
PdCoO3,Pd,Co,2,4,0.86,0.53,cubic,0,3.695,3.695,3.695,90,90,90,0,-0.166,0.72,0.025,10.092,-0.712
PdCrO3,Pd,Cr,2,4,0.86,0.55,cubic,0,3.772,3.772,3.772,90,90,90,0,-0.972,0.554,-0.001,10.735,0.047
PdCuO3,Pd,Cu,3,3,0.76,0.54,cubic,0,3.704,3.704,3.704,90,90,90,0,0.102,0.716,-,10.167,-3.672
PdDyO3,Pd,Dy,3,3,0.76,0.91,cubic,0,4.33,4.33,4.33,90,90,90,0,-1.171,1.034,0.596,16.232,-4.539
PdErO3,Pd,Er,3,3,0.76,0.89,cubic,0,4.288,4.288,4.288,90,90,90,0,-1.233,0.975,0.599,15.769,-4.271
PdEuO3,Pd,Eu,3,3,0.76,0.95,orthorhombic,3,5.834,5.856,7.854,90,90,90,0,-1.498,0.386,0,13.416,-6.021
PdFeO3,Pd,Fe,3,3,0.76,0.65,cubic,0,3.768,3.768,3.768,90,90,90,0,-0.509,0.576,0.4,10.699,-1.858
PdGaO3,Pd,Ga,3,3,0.76,0.62,cubic,0,3.8,3.8,3.8,90,90,90,0,-0.575,0.735,-,10.97,-3.072
PdGdO3,Pd,Gd,3,3,0.76,0.94,cubic,0,4.369,4.369,4.369,90,90,90,0,-1.012,1.218,-0.04,16.679,-5.74
PdGeO3,Pd,Ge,2,4,0.86,0.53,cubic,0,3.73,3.73,3.73,90,90,90,0,-0.737,0.656,-,10.377,0.441
PdHfO3,Pd,Hf,2,4,0.86,0.71,cubic,0,4.067,4.067,4.067,90,90,90,0,-1.905,0.658,0.394,13.454,-0.19
PdHoO3,Pd,Ho,3,3,0.76,0.9,cubic,0,4.308,4.308,4.308,90,90,90,0,-1.203,0.994,0.6,15.991,-4.397
PdInO3,Pd,In,3,3,0.76,0.8,cubic,0,4.109,4.109,4.109,90,90,90,0,-0.175,1.007,-,13.874,-4.979
PdIrO3,Pd,Ir,2,4,0.86,0.63,cubic,0,3.877,3.877,3.877,90,90,90,0,-0.197,0.702,0.006,11.656,1.11
PdLaO3,Pd,La,3,3,0.76,1.03,orthorhombic,3,5.815,6.028,8.256,90,90,90,0,-1.869,0.334,0,14.471,-5.572
PdLuO3,Pd,Lu,3,3,0.76,0.86,cubic,0,4.206,4.206,4.206,90,90,90,0,-1.321,0.92,0.59,14.877,-3.88
PdMnO3,Pd,Mn,2,4,0.86,0.53,cubic,0,3.771,3.771,3.771,90,90,90,0,-0.738,0.572,0.2,10.725,-1.097
PdMoO3,Pd,Mo,2,4,0.86,0.65,orthorhombic,3,5.258,5.581,7.617,90,90,90,0,-1.322,0.408,-0.055,11.176,3.431
PdNbO3,Pd,Nb,2,4,0.86,0.68,orthorhombic,3,5.391,5.63,7.755,90,90,90,0,-1.76,0.353,0.2,11.769,2.5
PdNdO3,Pd,Nd,3,3,0.76,0.98,cubic,0,4.475,4.475,4.475,90,90,90,0,-0.941,1.248,0.6,17.921,-5.275
PdNiO3,Pd,Ni,2,4,0.86,0.48,cubic,0,3.684,3.684,3.684,90,90,90,0,-0.067,0.69,0.811,9.996,-3.072
