Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
AsCrO3,As,Cr,3,3,0.58,0.62,cubic,0,3.792,3.792,3.792,90,90,90,0,-1.192,0.772,0.591,10.907,0.789
AsCuO3,As,Cu,3,3,0.58,0.54,cubic,0,3.702,3.702,3.702,90,90,90,0,-0.301,0.881,-,10.145,-0.831
AsDyO3,As,Dy,3,3,0.58,0.91,cubic,0,4.283,4.283,4.283,90,90,90,0,-1.302,1.387,0.038,15.714,-5.336
AsErO3,As,Er,3,3,0.58,0.89,cubic,0,4.241,4.241,4.241,90,90,90,0,-1.376,1.295,0.014,15.254,-4.874
AsEuO3,As,Eu,3,3,0.58,0.95,orthorhombic,3,5.528,5.937,8.683,90,90,90,0,-2.292,0.022,0,14.25,-8.456
AsFeO3,As,Fe,3,3,0.58,0.65,cubic,0,3.798,3.798,3.798,90,90,90,0,-0.747,0.805,0.911,10.955,-0.724
AsGaO3,As,Ga,3,3,0.58,0.62,cubic,0,3.782,3.782,3.782,90,90,90,0,-0.941,0.832,-,10.821,-0.391
AsGdO3,As,Gd,3,3,0.58,0.94,cubic,0,4.332,4.332,4.332,90,90,90,0,-1.22,1.399,-0.001,16.257,-5.81
AsGeO3,As,Ge,2,4,0.58,0.53,cubic,0,3.757,3.757,3.757,90,90,90,0,-0.909,0.707,-,10.602,1.493
AsHfO3,As,Hf,2,4,0.58,0.71,cubic,0,4.068,4.068,4.068,90,90,90,0,-2.012,0.773,-0.001,13.462,0.248
AsHoO3,As,Ho,3,3,0.58,0.9,cubic,0,4.261,4.261,4.261,90,90,90,0,-1.34,1.356,0.016,15.474,-5.112
AsInO3,As,In,3,3,0.58,0.8,cubic,0,4.09,4.09,4.09,90,90,90,0,-0.473,1.172,-,13.685,-3.437
AsIrO3,As,Ir,2,4,0.58,0.63,cubic,0,3.907,3.907,3.907,90,90,90,0,-0.244,0.958,-0.028,11.93,0.02
AsLaO3,As,La,3,3,0.58,1.03,cubic,0,4.472,4.472,4.472,90,90,90,0,-1.048,1.603,-0.002,17.892,-6.72
AsLuO3,As,Lu,3,3,0.58,0.86,cubic,0,4.173,4.173,4.173,90,90,90,0,-1.487,1.231,0,14.534,-4.14
AsMnO3,As,Mn,2,4,0.58,0.53,cubic,0,3.787,3.787,3.787,90,90,90,0,-0.981,0.783,0.734,10.859,-0.345
AsMoO3,As,Mo,2,4,0.58,0.65,cubic,0,3.932,3.932,3.932,90,90,90,0,-1.092,0.683,0.003,12.158,3.029
AsNbO3,As,Nb,2,4,0.58,0.68,cubic,0,4.013,4.013,4.013,90,90,90,0,-1.53,0.693,0,12.927,2.989
AsNdO3,As,Nd,3,3,0.58,0.98,cubic,0,4.45,4.45,4.45,90,90,90,0,-1.017,1.601,0.015,17.618,-6.772
AsNiO3,As,Ni,3,3,0.58,0.6,cubic,0,3.675,3.675,3.675,90,90,90,0,-0.451,0.973,0.203,9.927,-0.981
AsPbO3,As,Pb,2,4,0.58,0.78,orthorhombic,3,5.617,6.321,8.378,90,90,90,0,-1.311,0.217,-,14.871,-3.677
AsPdO3,As,Pd,2,4,0.58,0.62,cubic,0,3.924,3.924,3.924,90,90,90,0,-0.095,1.001,-,12.088,-0.714
AsPrO3,As,Pr,2,4,0.58,0.85,cubic,0,4.484,4.484,4.484,90,90,90,0,-0.966,1.545,0.008,18.032,-6.972
AsReO3,As,Re,2,4,0.58,0.63,cubic,0,3.906,3.906,3.906,90,90,90,0,-0.759,0.761,0.05,11.923,1.826
AsRhO3,As,Rh,3,3,0.58,0.67,cubic,0,3.887,3.887,3.887,90,90,90,0,-0.309,0.884,0.001,11.747,0.027
AsRuO3,As,Ru,2,4,0.58,0.62,cubic,0,3.885,3.885,3.885,90,90,90,0,-0.462,0.831,0.248,11.724,0.888
AsSbO3,As,Sb,2,4,0.58,0.68,cubic,0,4.031,4.031,4.031,90,90,90,0,-0.677,0.847,-,13.103,1.237
AsScO3,As,Sc,3,3,0.58,0.75,cubic,0,3.996,3.996,3.996,90,90,90,0,-1.592,1.035,0,12.761,-2.666
AsSiO3,As,Si,2,4,0.58,0.4,cubic,0,3.585,3.585,3.585,90,90,90,0,-1.501,0.825,-,9.218,3.579
AsSmO3,As,Sm,3,3,0.58,0.96,cubic,0,4.394,4.394,4.394,90,90,90,0,-1.116,1.531,0.092,16.964,-6.305
AsSnO3,As,Sn,2,4,0.58,0.69,cubic,0,4.021,4.021,4.021,90,90,90,0,-0.849,0.805,-,13.003,2.506
AsTaO3,As,Ta,2,4,0.58,0.68,cubic,0,3.992,3.992,3.992,90,90,90,0,-1.738,0.694,0,12.721,3.72
